y_actual,y_pred,y_prob,top_3_features
0,0,0.0006525441,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.0026954685,"['Status_Scores', 'Sustainability_Score', 'Current_World_Pay_Token']"
0,0,0.016043218,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.00077778136,"['Status_Scores', 'Sustainability_Score', 'Connection_Group_3']"
0,0,0.007599081,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,1,0.13889676,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.032961324,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.00076117855,"['Status_Scores', 'Payment_Timeframe', 'Sustainability_Score']"
1,1,0.99247193,"['Total_Net_Paid', 'Status_Scores', 'Connection_Group_2']"
0,0,0.00042101362,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.023494912,"['Status_Scores', 'Tenure_Years', 'Payment_Timeframe']"
0,0,0.0030045144,"['Status_Scores', 'Sustainability_Score', 'Current_World_Pay_Token']"
0,0,0.0037626529,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.02292794,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,1,0.5416749,"['Total_Net_Paid', 'Status_Scores', 'Connection_Group_4-9']"
1,1,0.95851314,"['Status_Scores', 'cancel_flag', 'Total_Net_Paid']"
0,1,0.06695547,"['Tenure_Years', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.008081447,"['Sustainability_Score', 'Tenure_Years', 'Status_Scores']"
0,1,0.07268031,"['Status_Scores', 'Renewal_Score_At_Release', 'Sustainability_Score']"
0,0,0.0024631768,"['Sustainability_Score', 'Status_Scores', 'Payment_Timeframe']"
1,1,0.84994346,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.017578991,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.004710042,"['Status_Scores', 'Total_Net_Paid', 'Connection_Group_4-9']"
0,1,0.11076589,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
0,0,0.0029793947,"['Sustainability_Score', 'Status_Scores', 'Current_World_Pay_Token']"
0,1,0.06025076,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,1,0.5101578,"['Status_Scores', 'Total_Net_Paid', 'Call_attend_status_renewal']"
0,0,0.0024293708,"['Status_Scores', 'Total_Net_Paid', 'Unnamed: 0']"
0,1,0.0605265,"['Status_Scores', 'Tenure_Years', 'Renewal_Score_At_Release']"
0,1,0.79882985,"['Status_Scores', 'stage_high_risk_flag', 'Sustainability_Score']"
1,1,0.9836585,"['Total_Net_Paid', 'Status_Scores', 'Tenure_Years']"
0,0,0.002514479,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.00089141756,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.008050072,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,1,0.92191845,"['cancel_flag', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.0084542725,"['Tenure_Years', 'Sustainability_Score', 'Status_Scores']"
0,0,0.002928114,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.019041412,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.00611215,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.01834814,"['Band_Band F', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.0009842517,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.020552088,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0006769536,"['Sustainability_Score', 'Total_Net_Paid', 'Status_Scores']"
0,0,0.00065972086,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,1,0.45593652,"['Status_Scores', 'Renewal_Score_At_Release', 'Tenure_Years']"
0,1,0.24147512,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.000112027206,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.011301562,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0027667538,"['Status_Scores', 'Band_Band F', 'Total_Net_Paid']"
0,0,0.009170424,"['Status_Scores', 'Tenure_Years', 'Renewal_Score_At_Release']"
0,0,0.0007141978,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.002901611,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
1,1,0.9705103,"['Total_Net_Paid', 'Status_Scores', 'Sustainability_Score']"
0,1,0.23834257,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
0,0,0.012769607,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.023896258,"['Status_Scores', 'Customer_Response_Risk_Low Risk', 'Current_World_Pay_Token']"
0,0,0.009523039,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0019241944,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,1,0.3385564,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0020247966,"['Status_Scores', 'Sustainability_Score', 'Customer_Response_Risk_Low Risk']"
0,0,0.038934976,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.0097912615,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.018632306,"['Status_Scores', 'Payment_Timeframe', 'Current_World_Pay_Token']"
0,0,0.011985112,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,1,0.054070562,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.0043074894,"['Status_Scores', 'Payment_Timeframe', 'Tenure_Years']"
0,1,0.2965944,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,1,0.0925608,"['Status_Scores', 'Total_Net_Paid', 'Customer_Response_Risk_Low Risk']"
0,0,0.007956238,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
0,1,0.15708174,"['Status_Scores', 'Total_Net_Paid', 'Current_Auto_Renewal_Flag']"
0,0,0.028605752,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.0034010184,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,1,0.1677824,"['Status_Scores', 'Total_Net_Paid', 'Band_Band F1']"
0,0,0.028945891,"['Status_Scores', 'Sustainability_Score', 'Anchoring_Score']"
0,0,0.009903452,"['Tenure_Years', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.004434955,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.0012065346,"['Status_Scores', 'Sustainability_Score', 'Current_World_Pay_Token']"
0,0,0.03279886,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
0,1,0.24868675,"['Status_Scores', 'stage_high_risk_flag', 'Sustainability_Score']"
0,1,0.62639695,"['Status_Scores', 'Discount_Amount', 'Payment_Timeframe']"
0,0,0.0030782775,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,1,0.11656583,"['Status_Scores', 'Current_World_Pay_Token', 'Sustainability_Score']"
0,0,0.001495416,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.012125383,"['Status_Scores', 'Customer_Response_Risk_Low Risk', 'Total_Net_Paid']"
0,1,0.64607275,"['Status_Scores', 'Tenure_Years', 'Sustainability_Score']"
0,0,0.014148515,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.00028735964,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0016906881,"['Status_Scores', 'Sustainability_Score', 'Current_World_Pay_Token']"
0,0,0.007441925,"['Status_Scores', 'Sustainability_Score', 'Band_Band G']"
0,1,0.10061818,"['Status_Scores', 'Total_Net_Paid', 'Band_Band F1']"
1,1,0.97876316,"['Discount_Amount', 'Total_Net_Paid', 'Status_Scores']"
0,0,0.032693245,"['Status_Scores', 'Band_Band F', 'Discount_Amount']"
0,0,0.0074260947,"['Status_Scores', 'Payment_Timeframe', 'Anchoring_Score']"
0,0,0.008181659,"['Sustainability_Score', 'Status_Scores', 'Tenure_Years']"
0,0,0.0008917175,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.0064794077,"['Tenure_Years', 'Total_Net_Paid', 'Status_Scores']"
0,0,0.020918742,"['Status_Scores', 'Payment_Timeframe', 'Renewal_Score_At_Release']"
0,0,0.0053881723,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,1,0.12915242,"['Status_Scores', 'Payment_Timeframe', 'Renewal_Score_At_Release']"
0,0,0.0043813027,"['Status_Scores', 'Band_Band F', 'Total_Net_Paid']"
0,0,0.002690835,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,1,0.053198893,"['Status_Scores', 'Total_Net_Paid', 'Unnamed: 0']"
0,0,0.000989328,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,1,0.9176833,"['Status_Scores', 'Band_Band F2', 'Renewal_Score_At_Release']"
0,0,0.004210195,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.00084788806,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.025077224,"['Status_Scores', 'Total_Net_Paid', 'Sustainability_Score']"
0,0,0.0010945988,"['Band_Band F', 'Tenure_Years', 'Sustainability_Score']"
0,0,0.0006645417,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0018641134,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.00048963586,"['Status_Scores', 'Band_Band F', 'Sustainability_Score']"
0,1,0.067546286,"['Status_Scores', 'stage_high_risk_flag', 'Current_World_Pay_Token']"
0,1,0.60678965,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0005847739,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0009455388,"['Status_Scores', 'Sustainability_Score', 'Current_Anchorings']"
0,0,0.001030788,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
1,1,0.92422825,"['Status_Scores', 'stage_high_risk_flag', 'Band_Band G']"
0,0,0.0023498791,"['Sustainability_Score', 'Status_Scores', 'Total_Net_Paid']"
0,0,0.010334169,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0014086544,"['Status_Scores', 'Sustainability_Score', 'Customer_Response_Risk_Low Risk']"
0,0,0.00062738237,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.036717072,"['Status_Scores', 'Renewal_Score_At_Release', 'Sustainability_Score']"
0,0,0.0005363298,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.04897557,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
1,1,0.7854541,"['Status_Scores', 'stage_high_risk_flag', 'Payment_Timeframe']"
0,1,0.123500526,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.0009598086,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
1,1,0.96327955,"['Status_Scores', 'stage_high_risk_flag', 'Renewal_Score_At_Release']"
0,0,0.0006019604,"['Status_Scores', 'Sustainability_Score', 'Tenure_Years']"
0,0,0.0028661664,"['Status_Scores', 'Sustainability_Score', 'Anchoring_Score']"
0,1,0.20206872,"['Status_Scores', 'Payment_Timeframe', 'stage_high_risk_flag']"
0,0,0.009743343,"['Status_Scores', 'Band_Band F1', 'Total_Net_Paid']"
0,0,0.0010314141,"['Status_Scores', 'Payment_Timeframe', 'Sustainability_Score']"
0,0,0.045846913,"['Status_Scores', 'Tenure_Years', 'Discount_Amount']"
0,0,0.020852974,"['Status_Scores', 'Sustainability_Score', 'Anchoring_Score']"
0,0,0.015212891,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.00052051776,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0017775664,"['Status_Scores', 'Total_Net_Paid', 'Customer_Response_Risk_Low Risk']"
0,0,0.0438273,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,1,0.3755031,"['Status_Scores', 'Total_Net_Paid', 'Band_Group']"
0,1,0.3460368,"['Status_Scores', 'Connection_Group_independent', 'Payment_Timeframe']"
0,0,0.0008618268,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.004190987,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.0006003061,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.01299588,"['Status_Scores', 'Total_Net_Paid', 'Customer_Response_flag']"
0,1,0.50670075,"['Status_Scores', 'Payment_Timeframe', 'Anchoring_Score']"
0,1,0.8990096,"['Status_Scores', 'Total_Net_Paid', 'Payment_Timeframe']"
0,0,0.013335156,"['Status_Scores', 'Sustainability_Score', 'Discount_Amount']"
1,1,0.96802306,"['Status_Scores', 'stage_high_risk_flag', 'Renewal_Score_At_Release']"
0,0,0.00021262727,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0017185139,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.00034125955,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.017246649,"['Status_Scores', 'Connection_Group_independent', 'Payment_Timeframe']"
0,0,0.007291355,"['Status_Scores', 'Sustainability_Score', 'Current_World_Pay_Token']"
0,0,0.006004723,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0011308183,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.00065434445,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.0019614496,"['Status_Scores', 'Sustainability_Score', 'Connection_Group_3']"
0,0,0.005090737,"['Status_Scores', 'Sustainability_Score', 'Renewal_Score_At_Release']"
0,0,0.035201427,"['Status_Scores', 'Current_World_Pay_Token', 'Sustainability_Score']"
0,1,0.42891905,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,0,0.004949122,"['Status_Scores', 'Total_Net_Paid', 'Renewal_Score_At_Release']"
0,0,0.0100579215,"['Status_Scores', 'Sustainability_Score', 'Tenure_Group_3']"
0,0,0.0076636337,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.013052314,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
0,0,0.043835655,"['Status_Scores', 'Sustainability_Score', 'Discount_Amount']"
0,0,0.0062008486,"['Status_Scores', 'Payment_Timeframe', 'Total_Net_Paid']"
0,1,0.08279301,"['Status_Scores', 'Total_Net_Paid', 'Tenure_Years']"
0,0,0.042754628,"['Status_Scores', 'Sustainability_Score', 'Payment_Timeframe']"
0,0,0.036445368,"['Status_Scores', 'Total_Net_Paid', 'stage_high_risk_flag']"
0,0,0.025222968,"['Status_Scores', 'Discount_Amount', 'Total_Net_Paid']"
0,0,0.001921056,"['Status_Scores', 'Sustainability_Score', 'Total_Net_Paid']"
0,0,0.017643917,"['Status_Scores', 'Payment_Timeframe', 'Renewal_Score_At_Release']"
1,1,0.9985897,"['Total_Net_Paid', 'Status_Scores', 'Renewal_Score_At_Release']"
0,0,0.019170363,"['Status_Scores', 'Total_Net_Paid', 'Current_World_Pay_Token']"
